,Name,Oscars,Rating,Votes
1,A remény rabjai,0,9.2,2550516
2,A keresztapa,3,9.1,1754615
3,A keresztapa II,6,9.0,1216423
4,A sötét lovag,2,9.0,2501151
5,Tizenkét dühös ember,0,8.9,753783
6,Schindler listája,7,8.9,1301601
7,A Gyűrűk Ura: A király visszatér,11,8.9,1757828
8,Ponyvaregény,1,8.8,1961171
9,"A Jó, a Rossz és a Csúf",0,8.8,735518
10,A Gyűrűk Ura: A gyűrű szövetsége,4,8.8,1779745
11,Harcosok klubja,0,8.7,2007975
12,Forrest Gump,6,8.7,1968262
13,Eredet,4,8.7,2239797
14,A Gyűrűk Ura: A két torony,2,8.7,1588209
15,A Birodalom visszavág,2,8.7,1236214
16,Mátrix,4,8.7,1839427
17,Nagymenők,1,8.6,1102048
18,Száll a kakukk fészkére,5,8.6,974425
19,A hét szamuráj,0,8.6,336084
20,Hetedik,0,8.6,1563974
0,A Gyűrűk Ura: A király visszatér,11,9.6,1757828
1,A sötét lovag,2,9.3,2501151
2,A remény rabjai,0,9.2,2550516
3,Forrest Gump,6,9.1,1968262
4,Eredet,4,8.9,2239797
5,A keresztapa,3,8.8,1754615
6,A keresztapa II,6,8.7,1216423
7,Schindler listája,7,8.7,1301601
8,Mátrix,4,8.5,1839427
9,Ponyvaregény,1,8.5,1961171
10,A Gyűrűk Ura: A gyűrű szövetsége,4,8.5,1779745
11,Harcosok klubja,0,8.2,2007975
12,A Gyűrűk Ura: A két torony,2,8.0,1588209
13,A Birodalom visszavág,2,7.7,1236214
14,Hetedik,0,7.6,1563974
15,Nagymenők,1,7.5,1102048
16,Száll a kakukk fészkére,5,7.5,974425
17,Tizenkét dühös ember,0,7.1,753783
18,"A Jó, a Rossz és a Csúf",0,7.0,735518
19,A hét szamuráj,0,6.4,336084
